timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782543722,946,HTTP Request 1,200,OK,Test facebook 2-18,text,true,,73313,234,1,1,https://www.facebook.com/,273,0,75
1764782543722,273,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-18,text,true,,498,115,1,1,https://facebook.com/,273,0,75
1764782543996,672,HTTP Request 1-1,200,OK,Test facebook 2-18,text,true,,72815,119,1,1,https://www.facebook.com/,441,0,89
1764782544711,507,HTTP Request,200,OK,Test Youtube 1-16,text,true,,713172,232,1,2,https://www.youtube.com/,146,0,91
1764782544711,146,HTTP Request-0,301,Moved Permanently,Test Youtube 1-16,text,true,,1561,114,1,2,https://youtube.com/,146,0,91
1764782544857,361,HTTP Request-1,200,OK,Test Youtube 1-16,text,true,,711611,118,1,2,https://www.youtube.com/,179,0,66
1764782544726,728,HTTP Request 1,200,OK,Test facebook 2-19,text,true,,73313,234,1,1,https://www.facebook.com/,261,0,67
1764782544726,261,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-19,text,true,,498,115,1,1,https://facebook.com/,261,0,67
1764782544988,466,HTTP Request 1-1,200,OK,Test facebook 2-19,text,true,,72815,119,1,1,https://www.facebook.com/,389,0,70
1764782545714,652,HTTP Request 1,200,OK,Test facebook 2-20,text,true,,73328,234,1,2,https://www.facebook.com/,262,0,65
1764782545714,262,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-20,text,true,,498,115,1,2,https://facebook.com/,262,0,65
1764782545976,390,HTTP Request 1-1,200,OK,Test facebook 2-20,text,true,,72830,119,1,2,https://www.facebook.com/,318,0,68
1764782545897,586,HTTP Request,200,OK,Test Youtube 1-17,text,true,,715809,232,1,1,https://www.youtube.com/,112,0,68
1764782545897,112,HTTP Request-0,301,Moved Permanently,Test Youtube 1-17,text,true,,2107,114,1,1,https://youtube.com/,112,0,68
1764782546009,474,HTTP Request-1,200,OK,Test Youtube 1-17,text,true,,713702,118,1,1,https://www.youtube.com/,225,0,92
1764782546713,761,HTTP Request 1,200,OK,Test facebook 2-21,text,true,,73307,234,1,2,https://www.facebook.com/,263,0,68
1764782546713,263,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-21,text,true,,498,115,1,2,https://facebook.com/,263,0,68
1764782546976,498,HTTP Request 1-1,200,OK,Test facebook 2-21,text,true,,72809,119,1,2,https://www.facebook.com/,400,0,92
1764782547109,476,HTTP Request,200,OK,Test Youtube 1-18,text,true,,716550,232,1,1,https://www.youtube.com/,117,0,72
1764782547109,117,HTTP Request-0,301,Moved Permanently,Test Youtube 1-18,text,true,,1591,114,1,1,https://youtube.com/,117,0,72
1764782547227,358,HTTP Request-1,200,OK,Test Youtube 1-18,text,true,,714959,118,1,1,https://www.youtube.com/,176,0,67
1764782547712,713,HTTP Request 1,200,OK,Test facebook 2-22,text,true,,73297,234,1,2,https://www.facebook.com/,264,0,68
1764782547712,264,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-22,text,true,,498,115,1,2,https://facebook.com/,264,0,68
1764782547976,449,HTTP Request 1-1,200,OK,Test facebook 2-22,text,true,,72799,119,1,2,https://www.facebook.com/,371,0,66
1764782548299,576,HTTP Request,200,OK,Test Youtube 1-19,text,true,,718791,232,1,2,https://www.youtube.com/,113,0,66
1764782548299,113,HTTP Request-0,301,Moved Permanently,Test Youtube 1-19,text,true,,1561,114,1,2,https://youtube.com/,113,0,66
1764782548413,462,HTTP Request-1,200,OK,Test Youtube 1-19,text,true,,717230,118,1,2,https://www.youtube.com/,214,0,87
1764782548712,756,HTTP Request 1,200,OK,Test facebook 2-23,text,true,,73312,234,1,1,https://www.facebook.com/,289,0,84
1764782548712,289,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-23,text,true,,498,115,1,1,https://facebook.com/,289,0,84
1764782549001,467,HTTP Request 1-1,200,OK,Test facebook 2-23,text,true,,72814,119,1,1,https://www.facebook.com/,385,0,67
1764782549498,497,HTTP Request,200,OK,Test Youtube 1-20,text,true,,717566,232,1,2,https://www.youtube.com/,154,0,88
